Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0201_0603Metric",-9.200000,21.550000,90.000000,bottom
"C2","100nF","C_0201_0603Metric",-8.500000,21.550000,90.000000,bottom
"C3","100nF","C_0201_0603Metric",-9.750000,24.820000,90.000000,bottom
"C4","100nF","C_0201_0603Metric",-9.050000,24.820000,90.000000,bottom
"C5","100nF","C_0201_0603Metric",-17.470000,23.350000,0.000000,bottom
"C6","100nF","C_0201_0603Metric",-17.470000,24.050000,0.000000,bottom
"C7","1uF","C_0201_0603Metric",-13.650000,38.080000,0.000000,bottom
"C8","1uF","C_0201_0603Metric",-10.860000,41.500000,90.000000,bottom
"C9","1uF","C_0201_0603Metric",-13.650000,38.780000,0.000000,bottom
"C10","1uF","C_0201_0603Metric",-8.500000,40.720000,90.000000,bottom
"C14","1uF","C_0201_0603Metric",-10.470000,19.650000,180.000000,bottom
"C15","0.1uF","C_0201_0603Metric",-10.470000,18.950000,180.000000,bottom
"C16","1uF","C_0201_0603Metric",-10.470000,22.650000,180.000000,bottom
"C17","0.1uF","C_0201_0603Metric",-10.470000,21.950000,180.000000,bottom
"C20","1uF","C_0201_0603Metric",-17.470000,20.450000,0.000000,bottom
"C21","1uF","C_0201_0603Metric",-10.470000,21.150000,180.000000,bottom
"C22","0.1uF","C_0201_0603Metric",-17.470000,21.150000,0.000000,bottom
"C23","0.1uF","C_0201_0603Metric",-10.470000,20.450000,180.000000,bottom
"C24","1uF","C_0201_0603Metric",-14.320000,23.700000,90.000000,bottom
"C25","0.1uF","C_0201_0603Metric",-16.070000,22.650000,180.000000,bottom
"C26","0.1uF","C_0201_0603Metric",-13.620000,23.700000,90.000000,bottom
"C27","0.1uF","C_0201_0603Metric",-16.070000,18.950000,180.000000,bottom
"C28","0.1uF","C_0201_0603Metric",-11.870000,22.650000,180.000000,bottom
"C29","1uF","C_0201_0603Metric",-14.320000,17.900000,-90.000000,bottom
"C30","0.1uF","C_0201_0603Metric",-11.870000,18.950000,180.000000,bottom
"C31","0.1uF","C_0201_0603Metric",-13.620000,17.900000,-90.000000,bottom
"C36","1uF","C_0201_0603Metric",-11.870000,19.650000,0.000000,bottom
"C37","1uF","C_0201_0603Metric",-16.070000,21.950000,180.000000,bottom
"C38","1uF","C_0201_0603Metric",-19.440000,41.500000,90.000000,bottom
"C39","1uF","C_0201_0603Metric",-11.870000,21.950000,0.000000,bottom
"C40","1uF","C_0201_0603Metric",-16.070000,19.650000,180.000000,bottom
"C41","1uF","C_0201_0603Metric",-17.140000,41.500000,90.000000,bottom
"C42","1uF","C_0201_0603Metric",-17.470000,18.950000,0.000000,bottom
"C43","1uF","C_0201_0603Metric",-12.920000,22.300000,-90.000000,bottom
"C44","0.1uF","C_0201_0603Metric",-17.470000,19.650000,0.000000,bottom
"C45","0.1uF","C_0201_0603Metric",-13.620000,22.300000,-90.000000,bottom
"C46","1uF","C_0201_0603Metric",-17.470000,21.950000,0.000000,bottom
"C47","1uF","C_0201_0603Metric",-13.620000,19.300000,90.000000,bottom
