Ref,Val,Package,PosX,PosY,Rot,Side
"C11","0.1uF","C_0201_0603Metric",12.530000,7.180000,0.000000,top
"C12","1uF","C_0402_1005Metric",9.070000,41.660000,180.000000,top
"C13","1uF","C_0402_1005Metric",11.800000,41.660000,0.000000,top
"C18","1uF","C_0402_1005Metric",11.800000,39.240000,0.000000,top
"C19","1uF","C_0402_1005Metric",9.060000,39.240000,180.000000,top
"C32","4.7uF","C_0603_1608Metric",13.580000,39.720000,90.000000,top
"C33","4.7uF","C_0603_1608Metric",13.580000,36.320000,90.000000,top
"C34","10uF","C_0603_1608Metric",17.800000,40.720000,-90.000000,top
"C35","10uF","C_0603_1608Metric",17.800000,37.320000,-90.000000,top
"C54","0.1uF","C_0201_0603Metric",18.210000,7.180000,180.000000,top
"C56","0.1uF","C_0201_0603Metric",13.930000,7.180000,0.000000,top
"D1","NSPU3051","CASE714AB_1.0x0.6mm",13.510000,41.700000,180.000000,top
"D4","PMEG2020EPK","SOD-1608",9.290000,37.070000,90.000000,top
"D5","SMD-LX0707RGB-TR","SMD-LX0707RGB-TR",19.080000,5.590000,90.000000,top
"FB1","BLM18KG601SN1","L_0603_1608Metric",11.370000,38.050000,180.000000,top
"FB2","BLM18KG601SN1","L_0603_1608Metric",11.370000,36.590000,180.000000,top
"FB3","BLM18KG601SN1","L_0603_1608Metric",19.260000,40.720000,90.000000,top
"FB4","BLM18KG601SN1","L_0603_1608Metric",19.270000,37.320000,90.000000,top
"J1","USB_C_Receptacle","USB_C_Receptacle_JAE_DX07S024JA1",13.970000,47.500000,180.000000,top
"J7","Conn_02x05_Odd_Even","PinHeader_2x03_P1.27mm_Vertical",9.210000,3.470000,0.000000,top
"R15","453","R_0201_0603Metric",8.500000,40.450000,-90.000000,top
"R17","4.7k","R_0201_0603Metric",16.810000,7.180000,180.000000,top
"SW1","KXT331LHS","SW_SPST_CK_KXT3",19.080000,2.340000,-90.000000,top
"U4","LFE5UM5G-25F-8MG285C","BGA-285_10x10mm_P0.5mm",13.970000,20.800000,-90.000000,top
"U5","DSC1103CE2-135.0000","Oscillator_SMD_3225-6Pin_3.2x2.5mm",9.980000,6.120000,-90.000000,top
"U6","FPF1048","CASE567RM_1.46x0.96mm_P0.5mm",11.850000,40.450000,90.000000,top
"U7","FPF2195","CASE567RN_1.48x0.98mm_P0.5mm",9.850000,40.450000,-90.000000,top
"U8","MYRGP330100W21RA","MYRGP-2.0x2.5mm",15.690000,40.220000,180.000000,top
"U9","MYRGP120100W21RA","MYRGP-2.0x2.5mm",15.690000,36.820000,180.000000,top
"U13","SN74CBTD16211DGVR","Texas_TVSOP-56_4.4x11.3mm_P0.4mm",13.970000,29.950000,-90.000000,top
"U14","SN74CBTD16211DGVR","Texas_TVSOP-56_4.4x11.3mm_P0.4mm",13.970000,11.650000,90.000000,top
"U18","W25Q128JVPIM","WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm",14.810000,3.510000,90.000000,top
